hypothesis,references
"In what year was the ""Crash the Super Bowl"" contest held?","['In what year did the ""Crash the Superbowl"" contest take place?']"
What was the name of the company that created the new system?,"['What was the name of the company that produced the first version of the ""Killer T"" program?']"
What did the first two highways lead to?,['What did the first two highways bring to the forefront of the debate?']
Who was the leader of the Chinese Tran dynasty?,"['What was the name of the person who was responsible for the removal of the ban on the use of the word ""tao""?']"
What year was the Luck of Edenhall released?,['What year was the second annual cycle of the Royal Institute of Scotland?']
When did Charles Avison die?,['What was the name of the event that led to the creation of the separate condenser in the early 20th century?']
When did WJZ-TV sign on?,"['In addition to WJZ-TV, what is the name of the other company that provides services to the city?']"
Who was responsible for the destruction of Yinchuan?,['What is the name of the non-market force that is responsible for the decline of the population of the country?']
What did George Westinghouse propose?,['In what year did George Westinghouse win the bid for the sale of WXYZ-TV?']
Who led the invasion of Wartburg?,['What was the name of the man who led the invasion of Wittenberg in June of 1967?']
Who created the San Andreas fault system?,"[""What was the name of the geochemical component that was discovered in the 1950's?""]"
"When was the ""Joint Declaration on the Doctrine of Justification"" released?","['In what country was the ""Joint Declaration on the Doctrine of Justification"" first broadcast?']"
Who was the leader of the rebellion?,['What was the name of the largest Protestant group in the United States?']
What is the maximum amount of time a person can spend in the rainforest?,['What did Maududi say was the minimum amount of time a person could spend in the Amazon?']
What was the name of the controversial piece of legislation introduced by the British government?,['What was the name of the controversial piece of legislation that allowed the removal of the dinosaurs from the Earth?']
What is the main difference between the two groups?,['What is the name of the main gap between the two groups of ctenophores in terms of population?']
What organization did Toghrul belong to?,['What is the name of the organization in which Toghrul was exiled from?']
Who was the author of the 1524 Charter?,"['Who was responsible for the creation of the ""Watch ABC"" system?']"
What was the name of the studio where the NFL Experience took place?,"[""What was the name of the company that oversaw the expansion of the United States' economy?""]"
In what year did the Chinese Academy of Sciences create a joint statement on climate change?,['In what year did the Chinese Academy of Sciences and the Royal Society of Canada make a joint statement on climate change?']
What did Silverman do in 1521?,['What did Silverman do in response to criticism of his work?']
What is the source of most of the chemical energy released in the Congo?,"[""What is the main source of most of the chemical energy released by a country's population?""]"
What are two examples of anti-inflammatory molecules?,['What are two examples of anti-inflammatory molecules that can be found during the course of a lifetime?']
"What is another name for the ""Roentgen"" system?","[""What is the name of the method used to determine the state of an individual's soul?""]"
Who was appointed to the presidency of Harvard?,['Who was the director of the Free Movement of Workers Regulation in the late 1980s?']
What was the cost of the 3D system?,['What was the original name of the 3D system used by the BBC for the first time?']
What was the goal of the capabilities approach?,['What type of financial instrument did the U.S. government use to support its economic policies?']
What are some examples of non-peer-reviewed sources?,['What are some examples of non-peer-reviewed sources in the United States?']
What is the name of the chateau located in Chur?,['What was the name of the chateau in which the Anterior Rhine and Posterior Rhine were located?']
What does Beroe stand for?,['What was the name of the company that supplied the majority of the production of the cars in the FSO Car Factory?']
What country was the Summer Theatre located in?,['What country was the Summer Theatre in operation in?']
Who was the first female to receive a BAFTA nomination?,['What was the name of the first person to receive a BAFTA nomination for the role of a Ctenophore?']
What is the name of the chemical that causes the formation of ozone?,['What is the name of the chemical that causes the formation of the lowest amount of ozone in the world?']
What was the total cost of attending college?,['In what year did Karl von Miltitz propose that private parties should not be allowed to interfere with public service?']
What was the name of the first major historical event in the United States?,['What was the name of the first major historical event that took place in the city of Paris?']
What did Langlade want to do?,['What did Langlade want to do to the people of the United States?']
When was the end of the Early Action program?,['When was the end of the Early Action program in the U.S.?']
What was the name of the area where the two groups met?,['What was the name of the area where the two parties met in the Eocene?']
Who did RCA give the mandate to sell?,['What was the name of the company that gave the mandate to sell the entire network?']
What was the name of the company that developed the system?,['What was the name of the company that developed the method used to separate the two types of plants in the area?']
What is one of the main sources of energy in the city?,['What is the name of the area in which the majority of the population of the UK lives?']
Who is responsible for appointing the new head of government?,['What is the name of the person who is responsible for appointing the new president of the Republic of Korea?']
Who founded the Muslim Brotherhood?,"['Who was the first person to use the term ""vertical"" direct effect in the name of the city?']"
What did some European nations want to avoid?,['What did some European nations and Japan want to do with their student body?']
"What does ""plastid"" mean?","['What does the term ""plastid"" mean in English?']"
"What does the term ""soft power"" mean?","['What does the term ""soft power"" refer to when referring to a person who is not a member of the same group?']"
